time	V(a)	V(b)	V(out)	I(V1)
1.106890075683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.111772888183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.116655700683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.121538513183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.126421325683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.131304138183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.136186950683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.141069763183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.145952575683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.150835388183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.155718200683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.160601013183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.165483825683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.170366638183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.175249450683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.180132263183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.185015075683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.189897888183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.194780700683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.199663513183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.204546325683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.209429138183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.214311950683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.219194763183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.224077575683593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.228960388183593e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.233843200683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.238726013183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.243608825683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.248491638183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.253374450683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.258257263183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.263140075683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.268022888183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.272905700683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.277788513183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.282671325683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.287554138183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.292436950683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.297319763183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.302202575683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.307085388183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.311968200683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.316851013183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.321733825683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.326616638183592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.331499450683592e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.336382263183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.341265075683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.346147888183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.351030700683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.355913513183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.360796325683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.365679138183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.370561950683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.375444763183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.380327575683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.385210388183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.390093200683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.394976013183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.399858825683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.404741638183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.409624450683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.414507263183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.419390075683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.424272888183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
