Vin	V(vin)	V(vout)
1.900000000000000e+00	1.900000e+00	4.047110e+00
1.910000000000000e+00	1.910000e+00	4.020211e+00
1.920000000000000e+00	1.920000e+00	3.992306e+00
1.930000000000000e+00	1.930000e+00	3.963315e+00
1.940000000000000e+00	1.940000e+00	3.933149e+00
1.950000000000000e+00	1.950000e+00	3.901705e+00
1.960000000000000e+00	1.960000e+00	3.868863e+00
1.970000000000000e+00	1.970000e+00	3.834483e+00
1.980000000000000e+00	1.980000e+00	3.798398e+00
1.990000000000000e+00	1.990000e+00	3.760411e+00
2.000000000000000e+00	2.000000e+00	3.720278e+00
2.010000000000000e+00	2.010000e+00	3.677700e+00
2.020000000000000e+00	2.020000e+00	3.632299e+00
2.030000000000000e+00	2.030000e+00	3.583587e+00
2.040000000000000e+00	2.040000e+00	3.530912e+00
2.050000000000000e+00	2.050000e+00	3.473372e+00
2.060000000000000e+00	2.060000e+00	3.409658e+00
2.070000000000000e+00	2.070000e+00	3.337731e+00
2.080000000000000e+00	2.080000e+00	3.254090e+00
2.090000000000000e+00	2.090000e+00	3.151711e+00
2.100000000000000e+00	2.100000e+00	3.011680e+00
2.110000000000000e+00	2.110000e+00	2.635317e+00
2.120000000000000e+00	2.120000e+00	2.024029e+00
2.130000000000000e+00	2.130000e+00	1.416519e+00
2.140000000000000e+00	2.140000e+00	1.252918e+00
2.150000000000000e+00	2.150000e+00	1.173140e+00
2.160000000000000e+00	2.160000e+00	1.113192e+00
2.170000000000000e+00	2.170000e+00	1.064570e+00
2.180000000000000e+00	2.180000e+00	1.022488e+00
2.190000000000000e+00	2.190000e+00	9.851735e-01
2.200000000000000e+00	2.200000e+00	9.515243e-01
2.210000000000000e+00	2.210000e+00	9.207837e-01
2.220000000000000e+00	2.220000e+00	8.924219e-01
2.230000000000000e+00	2.230000e+00	8.660519e-01
2.240000000000000e+00	2.240000e+00	8.413808e-01
2.250000000000000e+00	2.250000e+00	8.181807e-01
2.260000000000000e+00	2.260000e+00	7.962702e-01
2.270000000000000e+00	2.270000e+00	7.755020e-01
2.280000000000000e+00	2.280000e+00	7.557548e-01
2.290000000000000e+00	2.290000e+00	7.369270e-01
2.300000000000000e+00	2.300000e+00	7.189329e-01
2.310000000000000e+00	2.310000e+00	7.016991e-01
2.320000000000000e+00	2.320000e+00	6.851621e-01
2.330000000000000e+00	2.330000e+00	6.692671e-01
2.340000000000000e+00	2.340000e+00	6.539655e-01
2.350000000000000e+00	2.350000e+00	6.392149e-01
2.360000000000000e+00	2.360000e+00	6.249775e-01
2.370000000000000e+00	2.370000e+00	6.112196e-01
2.380000000000000e+00	2.380000e+00	5.979109e-01
2.390000000000000e+00	2.390000e+00	5.850243e-01
2.400000000000000e+00	2.400000e+00	5.725351e-01
2.410000000000000e+00	2.410000e+00	5.604209e-01
2.420000000000000e+00	2.420000e+00	5.486614e-01
2.430000000000000e+00	2.430000e+00	5.372379e-01
2.440000000000000e+00	2.440000e+00	5.261335e-01
2.450000000000000e+00	2.450000e+00	5.153323e-01
2.460000000000000e+00	2.460000e+00	5.048199e-01
2.470000000000000e+00	2.470000e+00	4.945828e-01
2.480000000000000e+00	2.480000e+00	4.846088e-01
2.490000000000000e+00	2.490000e+00	4.748863e-01
2.500000000000000e+00	2.500000e+00	4.654046e-01
2.510000000000000e+00	2.510000e+00	4.561536e-01
2.520000000000000e+00	2.520000e+00	4.471240e-01
2.530000000000000e+00	2.530000e+00	4.383071e-01
2.540000000000000e+00	2.540000e+00	4.296947e-01
2.550000000000000e+00	2.550000e+00	4.212791e-01
2.560000000000000e+00	2.560000e+00	4.130531e-01
2.570000000000000e+00	2.570000e+00	4.050098e-01
2.580000000000000e+00	2.580000e+00	3.971428e-01
2.590000000000000e+00	2.590000e+00	3.894461e-01
2.600000000000000e+00	2.600000e+00	3.819139e-01
2.610000000000000e+00	2.610000e+00	3.745408e-01
2.620000000000000e+00	2.620000e+00	3.673216e-01
2.630000000000000e+00	2.630000e+00	3.602514e-01
2.640000000000000e+00	2.640000e+00	3.533257e-01
2.650000000000000e+00	2.650000e+00	3.465399e-01
2.660000000000000e+00	2.660000e+00	3.398900e-01
2.670000000000000e+00	2.670000e+00	3.333718e-01
2.680000000000000e+00	2.680000e+00	3.269817e-01
2.690000000000000e+00	2.690000e+00	3.207158e-01
2.700000000000000e+00	2.700000e+00	3.145709e-01
2.710000000000000e+00	2.710000e+00	3.085435e-01
2.720000000000000e+00	2.720000e+00	3.026305e-01
2.730000000000000e+00	2.730000e+00	2.968288e-01
2.740000000000000e+00	2.740000e+00	2.911355e-01
2.750000000000000e+00	2.750000e+00	2.855479e-01
2.760000000000000e+00	2.760000e+00	2.800631e-01
2.770000000000000e+00	2.770000e+00	2.746788e-01
2.780000000000000e+00	2.780000e+00	2.693923e-01
2.790000000000000e+00	2.790000e+00	2.642013e-01
2.800000000000000e+00	2.800000e+00	2.591036e-01
2.810000000000000e+00	2.810000e+00	2.540969e-01
2.820000000000000e+00	2.820000e+00	2.491791e-01
2.830000000000000e+00	2.830000e+00	2.443482e-01
2.840000000000000e+00	2.840000e+00	2.396022e-01
2.850000000000000e+00	2.850000e+00	2.349392e-01
2.860000000000000e+00	2.860000e+00	2.303574e-01
2.870000000000000e+00	2.870000e+00	2.258549e-01
2.880000000000000e+00	2.880000e+00	2.214302e-01
2.890000000000000e+00	2.890000e+00	2.170815e-01
2.900000000000000e+00	2.900000e+00	2.128073e-01
2.910000000000000e+00	2.910000e+00	2.086060e-01
2.920000000000000e+00	2.920000e+00	2.044761e-01
2.930000000000000e+00	2.930000e+00	2.004162e-01
